line_id,line_of_business,month,year,quarter,gwp_gbp_k,nwp_gbp_k,claims_incurred_gbp_k,claims_count,avg_claim_size_gbp,loss_ratio,expense_ratio,combined_ratio,underwriting_profit_gbp_k,reserve_adequacy_pct,new_policies,renewal_rate_pct
IL06,Cyber,2022-01-01,2022,Q1,2067.21,1886.05,1352.16,1505,898.45,0.6541,0.3092,0.9633,75.87,1.0349,1593,0.8
IL06,Cyber,2022-02-01,2022,Q1,2104.64,1970.86,1259.42,1870,673.48,0.5984,0.3276,0.926,155.74,1.0306,1239,0.821
IL06,Cyber,2022-03-01,2022,Q1,2221.56,2033.55,1461.12,1333,1096.11,0.6577,0.3087,0.9664,74.64,1.0672,1178,0.882
IL06,Cyber,2022-04-01,2022,Q2,2226.46,2038.72,1459.0,1433,1018.14,0.6553,0.3139,0.9692,68.57,0.9657,1533,0.788
IL06,Cyber,2022-05-01,2022,Q2,2185.02,2016.93,1357.12,1739,780.4,0.6211,0.3339,0.955,98.33,1.0257,1347,0.874
IL06,Cyber,2022-06-01,2022,Q2,2078.96,1980.57,1285.21,1269,1012.78,0.6182,0.3142,0.9324,140.54,1.0114,1002,0.801
IL06,Cyber,2022-07-01,2022,Q3,2259.6,2146.49,1438.91,1437,1001.33,0.6368,0.3131,0.9499,113.21,0.9649,1756,0.882
IL06,Cyber,2022-08-01,2022,Q3,2184.17,1996.13,1488.73,1945,765.41,0.6816,0.3132,0.9948,11.36,1.1024,875,0.8
IL06,Cyber,2022-09-01,2022,Q3,2229.83,1974.04,1381.6,2224,621.22,0.6196,0.3192,0.9388,136.47,1.1132,950,0.886
IL06,Cyber,2022-10-01,2022,Q4,2133.22,2006.12,1478.53,1391,1062.93,0.6931,0.3173,1.0104,-22.19,0.9733,1187,0.806
IL06,Cyber,2022-11-01,2022,Q4,2212.62,2046.1,1332.88,1865,714.68,0.6024,0.3304,0.9328,148.69,1.0288,1197,0.784
IL06,Cyber,2022-12-01,2022,Q4,2141.38,2037.34,1493.4,1405,1062.92,0.6974,0.3307,1.0281,-60.17,1.0209,1327,0.849
IL06,Cyber,2023-01-01,2023,Q1,2310.6,2171.14,1410.39,1934,729.26,0.6104,0.3129,0.9233,177.22,1.0488,1383,0.859
IL06,Cyber,2023-02-01,2023,Q1,2366.67,2191.59,1532.42,2100,729.72,0.6475,0.3262,0.9737,62.24,1.0937,1574,0.803
IL06,Cyber,2023-03-01,2023,Q1,2195.86,2006.05,1513.61,1847,819.49,0.6893,0.3083,0.9976,5.27,1.1051,1437,0.83
IL06,Cyber,2023-04-01,2023,Q2,2263.47,2008.97,1574.02,1825,862.48,0.6954,0.3204,1.0158,-35.76,1.0779,1243,0.856
IL06,Cyber,2023-05-01,2023,Q2,2413.6,2142.47,1615.18,1785,904.86,0.6692,0.3136,0.9828,41.51,1.0486,1177,0.895
IL06,Cyber,2023-06-01,2023,Q2,2227.83,1978.74,1418.68,1519,933.96,0.6368,0.3195,0.9563,97.36,0.9763,1667,0.811
IL06,Cyber,2023-07-01,2023,Q3,2283.54,2110.19,1511.25,1549,975.63,0.6618,0.3306,0.9924,17.35,1.0786,1333,0.796
IL06,Cyber,2023-08-01,2023,Q3,2362.77,2147.77,1614.24,1687,956.87,0.6832,0.3335,1.0167,-39.46,1.0889,1438,0.905
IL06,Cyber,2023-09-01,2023,Q3,2410.71,2164.31,1527.43,2363,646.39,0.6336,0.3267,0.9603,95.71,1.0957,1510,0.8
IL06,Cyber,2023-10-01,2023,Q4,2337.06,2071.15,1429.11,1720,830.88,0.6115,0.3065,0.918,191.64,1.0817,1097,0.886
IL06,Cyber,2023-11-01,2023,Q4,2307.59,2077.39,1570.31,1954,803.64,0.6805,0.3204,1.0009,-2.08,0.9613,1418,0.873
IL06,Cyber,2023-12-01,2023,Q4,2495.73,2266.43,1731.29,2126,814.34,0.6937,0.3106,1.0043,-10.73,0.9654,1423,0.898
IL06,Cyber,2024-01-01,2024,Q1,2557.67,2300.23,1622.07,1633,993.31,0.6342,0.3091,0.9433,145.02,1.0469,1533,0.794
IL06,Cyber,2024-02-01,2024,Q1,2484.46,2293.08,1927.2,1881,1024.56,0.7757,0.3101,1.0858,-213.17,1.1155,1910,0.794
IL06,Cyber,2024-03-01,2024,Q1,2410.11,2305.56,1618.63,1708,947.68,0.6716,0.3157,0.9873,30.61,0.9807,1335,0.83
IL06,Cyber,2024-04-01,2024,Q2,2466.96,2192.7,1533.71,2099,730.69,0.6217,0.3076,0.9293,174.41,0.9731,1470,0.887
IL06,Cyber,2024-05-01,2024,Q2,2564.54,2379.97,1544.37,2208,699.44,0.6022,0.3145,0.9167,213.63,1.003,1650,0.917
IL06,Cyber,2024-06-01,2024,Q2,2515.08,2382.5,1579.97,2047,771.85,0.6282,0.3314,0.9596,101.61,1.0309,1579,0.875
IL06,Cyber,2024-07-01,2024,Q3,2463.9,2184.99,1599.32,1636,977.58,0.6491,0.3074,0.9565,107.18,0.9744,1587,0.836
IL06,Cyber,2024-08-01,2024,Q3,2585.11,2344.93,1794.58,2713,661.48,0.6942,0.3353,1.0295,-76.26,1.0511,1773,0.919
IL06,Cyber,2024-09-01,2024,Q3,2481.13,2237.58,1670.79,1910,874.76,0.6734,0.3129,0.9863,33.99,1.0842,1233,0.87
IL06,Cyber,2024-10-01,2024,Q4,2569.09,2418.64,1697.4,1848,918.51,0.6607,0.3169,0.9776,57.55,0.9684,1557,0.815
IL06,Cyber,2024-11-01,2024,Q4,2610.97,2439.3,1597.91,2181,732.65,0.612,0.3072,0.9192,210.97,1.1153,1592,0.834
IL06,Cyber,2024-12-01,2024,Q4,2675.59,2518.82,1773.11,2536,699.18,0.6627,0.3071,0.9698,80.8,1.0848,1770,0.808
